arrival_time,tsval
1777174420.5791903,8280
1777174420.645131,8350
1777174420.7476535,8450
1777174420.9860682,8690
1777174421.19365,8890
1777174421.3978696,9100
1777174421.5996456,9300
1777174421.6503441,9350
1777174421.7443213,9450
1777174421.849828,9550
1777174421.946719,9650
1777174422.0455787,9750
1777174422.152979,9850
1777174422.2530067,9950
1777174422.3485627,10050
1777174422.444923,10150
1777174422.544872,10250
1777174422.6436746,10350
1777174422.8334944,10530
1777174422.8941166,10590
1777174422.945892,10650
1777174423.044748,10750
1777174423.1500764,10850
1777174423.246379,10950
1777174423.4479284,11150
1777174423.547579,11250
1777174423.6518536,11350
1777174423.7504823,11450
1777174423.845922,11550
1777174423.9471443,11650
1777174424.0576808,11760
1777174424.2637436,11970
1777174424.3451066,12050
1777174424.4490442,12150
1777174424.5517638,12250
1777174424.64443,12350
1777174424.7436004,12450
1777174424.8446324,12550
1777174425.084417,12790
1777174425.1502287,12850
1777174425.2499335,12950
1777174425.3469098,13050
1777174425.4456375,13150
1777174425.701085,13400
1777174425.9013803,13600
1777174425.9508984,13650
1777174426.0448918,13750
1777174426.1472552,13850
1777174426.247703,13950
1777174426.345408,14050
1777174426.4462636,14150
1777174426.5450366,14250
1777174426.7285187,14430
1777174426.783804,14480
1777174426.9275682,14630
1777174427.1300013,14830
1777174427.1791658,14880
1777174427.2440789,14950
1777174427.347646,15050
1777174427.5482242,15250
1777174427.745829,15450
1777174427.8478262,15550
1777174427.9539082,15650
1777174428.062475,15750
1777174428.146941,15850
1777174428.2466328,15950
1777174428.361429,16060
1777174428.5682955,16270
1777174428.7729473,16470
1777174428.974792,16680
1777174429.043355,16750
1777174429.1784902,16880
1777174429.2452934,16950
1777174429.3468168,17050
1777174429.590754,17290
1777174429.7934208,17490
1777174430.0024836,17700
1777174430.2030354,17910
1777174430.2526464,17950
1777174430.34608,18050
1777174430.4521194,18150
1777174430.5467067,18250
1777174430.6458526,18350
1777174430.744289,18450
1777174430.8466842,18550
1777174431.020999,18720
1777174431.2295022,18930
1777174431.4344003,19140
1777174431.480862,19180
1777174431.5444236,19250
1777174431.6458244,19350
1777174431.7446446,19450
1777174431.850414,19550
1777174432.047551,19750
1777174432.1469042,19850
1777174432.2460134,19950
1777174432.4599109,20160
1777174432.5461326,20250
1777174432.6470387,20350
1777174432.886179,20570
1777174432.9432437,20650
1777174433.046411,20750
1777174433.2792265,20980
1777174433.3495138,21050
1777174433.4458194,21150
1777174433.5474558,21250
1777174433.6457882,21350
1777174433.745461,21450
1777174433.891284,21590
1777174433.9490697,21650
