arrival_time,tsval
1777243757.868556,2052220
1777243757.9178925,2052270
1777243758.0757594,2052430
1777243758.172112,2052530
1777243758.273603,2052630
1777243758.4798398,2052840
1777243758.6932218,2053050
1777243758.7737918,2053130
1777243758.8707228,2053230
1777243758.972232,2053330
1777243759.0949101,2053450
1777243759.17049,2053530
1777243759.2700229,2053630
1777243759.3734405,2053730
1777243759.5047555,2053860
1777243759.5719738,2053930
1777243759.6723511,2054030
1777243759.9141295,2054270
1777243760.1204352,2054480
1777243760.3270888,2054680
1777243760.5326161,2054890
1777243760.7347708,2055090
1777243760.786117,2055140
1777243760.8718138,2055230
1777243760.9725745,2055330
1777243761.0730329,2055430
1777243761.1750402,2055530
1777243761.351202,2055710
1777243761.5521693,2055910
1777243761.6005135,2055960
1777243761.7563958,2056110
1777243761.8092148,2056160
1777243761.97019,2056320
1777243762.1718295,2056530
1777243762.2693615,2056630
1777243762.373131,2056730
1777243762.474652,2056830
1777243762.5709648,2056930
1777243762.67221,2057030
1777243762.7834437,2057140
1777243762.9880996,2057340
1777243763.1915066,2057550
1777243763.2765052,2057630
1777243763.399491,2057760
1777243763.4727087,2057830
1777243763.5761697,2057930
1777243763.6744246,2058030
1777243763.8045633,2058160
1777243763.872987,2058230
1777243763.9710736,2058330
1777243764.072421,2058430
1777243764.1735437,2058530
1777243764.4214346,2058780
1777243764.47245,2058830
1777243764.569326,2058930
1777243764.6719115,2059030
1777243764.7725718,2059130
1777243764.8712938,2059230
1777243764.9716504,2059330
1777243765.2390802,2059600
1777243765.3019295,2059660
1777243765.3712466,2059730
1777243765.4703925,2059830
1777243765.5727718,2059930
1777243765.673862,2060030
1777243765.8560317,2060210
1777243765.9055169,2060260
1777243765.9722037,2060330
1777243766.0709007,2060430
1777243766.263458,2060620
1777243766.4738681,2060830
1777243766.6792684,2061030
1777243766.8808997,2061240
1777243766.9784603,2061330
1777243767.0865552,2061440
1777243767.1702259,2061530
1777243767.2885578,2061640
1777243767.3745863,2061730
1777243767.4770253,2061830
1777243767.6968515,2062050
1777243767.9055266,2062260
1777243768.1063988,2062460
1777243768.1716957,2062530
1777243768.3122067,2062670
1777243768.3717294,2062730
1777243768.5195358,2062870
1777243768.7219992,2063080
1777243768.7745268,2063130
1777243768.9272857,2063280
1777243768.976207,2063330
1777243769.1321967,2063490
1777243769.1812296,2063540
1777243769.2727022,2063630
1777243769.3713984,2063730
1777243769.4711175,2063830
1777243769.5719714,2063930
1777243769.7448409,2064100
1777243769.9520576,2064310
1777243770.1546063,2064510
1777243770.2015262,2064560
1777243770.268391,2064630
1777243770.370704,2064730
1777243770.4715753,2064830
1777243770.5736227,2064930
1777243770.769318,2065120
1777243770.9735465,2065330
1777243771.0730774,2065430
1777243771.176356,2065530
1777243771.3854024,2065740
1777243771.5881486,2065950
1777243771.677362,2066030
1777243771.7922275,2066150
1777243771.8714168,2066230
1777243771.968447,2066330
1777243772.0752454,2066430
1777243772.172914,2066530
1777243772.273455,2066630
1777243772.3810616,2066730
1777243772.4875987,2066830
1777243772.613242,2066970
1777243772.819724,2067180
1777243773.0226018,2067380
1777243773.0738754,2067430
1777243773.225782,2067580
1777243773.28387,2067640
1777243773.4345458,2067790
1777243773.4874792,2067840
1777243773.5691435,2067930
1777243773.8414364,2068200
1777243774.0457559,2068400
1777243774.2520673,2068610
1777243774.2975547,2068660
1777243774.370713,2068730
1777243774.4733012,2068830
1777243774.5701919,2068930
1777243774.670899,2069030
1777243774.8674178,2069220
1777243774.9237819,2069280
1777243775.072474,2069430
1777243775.1700153,2069530
1777243775.2734492,2069630
1777243775.3710575,2069730
1777243775.4887507,2069840
1777243775.683774,2070040
1777243775.780969,2070130
1777243775.8728666,2070230
1777243775.9768574,2070330
1777243776.094218,2070450
1777243776.29924,2070660
1777243776.506492,2070860
1777243776.7110505,2071070
1777243776.7798154,2071130
1777243776.8710492,2071230
1777243776.9733222,2071330
1777243777.0731268,2071430
1777243777.3241067,2071680
1777243777.5260332,2071880
1777243777.5723019,2071930
1777243777.6730065,2072030
1777243777.9436114,2072290
1777243778.1464598,2072500
1777243778.194342,2072550
1777243778.268703,2072630
1777243778.3718429,2072730
1777243778.4719286,2072830
1777243778.5727515,2072930
1777243778.6748414,2073030
1777243778.771741,2073130
1777243778.8705325,2073230
1777243778.9779315,2073330
1777243779.071926,2073430
1777243779.178116,2073530
1777243779.369486,2073730
1777243779.4732091,2073830
1777243779.5766432,2073930
1777243779.6717346,2074030
1777243779.7713323,2074130
1777243779.8705187,2074230
1777243779.9841104,2074340
1777243780.1913729,2074550
1777243780.3937526,2074750
1777243780.474269,2074830
1777243780.5764487,2074930
1777243780.8107417,2075160
1777243780.876474,2075230
1777243781.011409,2075370
1777243781.0691628,2075430
1777243781.2130473,2075570
1777243781.4185548,2075780
1777243781.6263168,2075980
1777243781.8264825,2076180
1777243781.8770945,2076230
1777243781.9793582,2076330
1777243782.076088,2076430
1777243782.2381911,2076590
1777243782.4419127,2076800
1777243782.6553385,2077000
1777243782.707363,2077060
1777243782.7698152,2077130
1777243782.8838387,2077230
1777243782.9721105,2077330
1777243783.0713942,2077430
1777243783.169759,2077530
1777243783.2697458,2077630
1777243783.4741025,2077830
1777243783.572372,2077930
1777243783.678257,2078030
1777243783.770544,2078130
1777243783.8727689,2078230
1777243783.9852433,2078330
1777243784.08544,2078430
1777243784.2854602,2078640
1777243784.370347,2078730
1777243784.4882135,2078850
1777243784.573569,2078930
1777243784.6741457,2079030
1777243784.903139,2079260
1777243784.9730837,2079330
1777243785.0731506,2079430
1777243785.3098636,2079660
1777243785.5163808,2079870
1777243785.5739868,2079930
1777243785.679295,2080030
1777243785.924381,2080280
1777243785.9971597,2080340
1777243786.072178,2080430
1777243786.169415,2080530
1777243786.2765982,2080630
1777243786.5399823,2080900
1777243786.5921762,2080940
1777243786.7443264,2081100
1777243786.8029895,2081150
1777243786.8707087,2081230
1777243786.9706857,2081330
1777243787.1534185,2081510
1777243787.2058508,2081560
1777243787.284685,2081630
1777243787.370056,2081730
1777243787.5647714,2081920
1777243787.7654774,2082120
1777243787.8142529,2082170
1777243787.871942,2082230
1777243787.979302,2082330
1777243788.1794133,2082530
1777243788.2728336,2082630
1777243788.3709352,2082730
1777243788.4696622,2082830
1777243788.5892878,2082940
1777243788.6768484,2083030
1777243788.7770565,2083130
1777243788.9962895,2083350
1777243789.201651,2083560
1777243789.2741444,2083630
1777243789.4096186,2083770
1777243789.4701397,2083830
1777243789.572963,2083930
1777243789.8148248,2084170
1777243789.877982,2084230
1777243790.0232399,2084380
1777243790.07623,2084430
1777243790.1757135,2084530
1777243790.271488,2084630
1777243790.4399161,2084800
1777243790.4922187,2084850
1777243790.5825431,2084930
1777243790.8447914,2085200
1777243790.8937733,2085250
1777243791.0458567,2085400
1777243791.1011336,2085460
1777243791.1751664,2085530
1777243791.2721398,2085630
1777243791.3684719,2085730
1777243791.4701803,2085830
1777243791.661811,2086020
1777243791.8657997,2086220
1777243791.9125593,2086270
1777243791.9708068,2086330
1777243792.0766177,2086430
1777243792.2763948,2086630
1777243792.3700082,2086730
1777243792.4797623,2086830
1777243792.6826804,2087040
1777243792.8864894,2087240
1777243792.9728425,2087330
1777243793.0906382,2087450
1777243793.1767592,2087530
1777243793.2745564,2087630
1777243793.3720267,2087730
1777243793.504509,2087860
1777243793.7137833,2088070
1777243793.7743104,2088130
1777243793.9126785,2088270
1777243793.9718018,2088330
1777243794.071572,2088430
1777243794.1756516,2088530
1777243794.2736325,2088630
1777243794.3693132,2088730
1777243794.4697683,2088830
1777243794.574662,2088930
1777243794.6718378,2089030
1777243794.773694,2089130
1777243794.8716857,2089230
1777243794.9719634,2089330
1777243795.1445029,2089500
1777243795.3468435,2089700
1777243795.3967202,2089750
1777243795.4698524,2089830
1777243795.5695977,2089930
1777243795.6716337,2090030
1777243795.7716153,2090130
1777243795.9620523,2090320
1777243796.022082,2090370
1777243796.1723552,2090520
1777243796.3703556,2090730
1777243796.4168217,2090770
1777243796.4696932,2090830
1777243796.5769358,2090930
1777243796.672383,2091030
1777243796.7793016,2091130
1777243796.872124,2091230
1777243796.9703703,2091330
1777243797.0743914,2091430
1777243797.189851,2091550
1777243797.27124,2091630
1777243797.3756652,2091730
1777243797.4763024,2091830
1777243797.596948,2091950
1777243797.670364,2092030
1777243797.7727454,2092130
1777243797.872777,2092230
1777243797.9779088,2092330
1777243798.0745263,2092430
1777243798.1852272,2092530
1777243798.2692041,2092630
1777243798.3869116,2092730
1777243798.4723535,2092830
1777243798.5689461,2092930
1777243798.6722093,2093030
1777243798.8298678,2093180
1777243799.033327,2093390
1777243799.0813916,2093440
1777243799.1707945,2093530
1777243799.4421475,2093800
1777243799.4950004,2093850
1777243799.6458383,2094000
1777243799.7010348,2094060
1777243799.7700927,2094130
1777243799.8726847,2094230
1777243799.9698102,2094330
1777243800.0713375,2094430
1777243800.2670214,2094620
1777243800.4653552,2094820
1777243800.5229375,2094880
1777243800.578995,2094940
1777243800.676455,2095030
1777243800.773566,2095130
1777243800.874298,2095230
1777243801.0791888,2095440
1777243801.2913532,2095640
1777243801.4905698,2095850
1777243801.572411,2095930
1777243801.6957085,2096050
1777243801.7739182,2096130
1777243801.8760037,2096230
1777243802.1038904,2096460
1777243802.1760106,2096530
1777243802.2687373,2096630
1777243802.5119748,2096870
1777243802.5733254,2096930
1777243802.6712523,2097030
1777243802.7804515,2097130
1777243802.8695843,2097230
1777243802.974221,2097330
1777243803.0713727,2097430
1777243803.33122,2097690
1777243803.3888786,2097750
1777243803.472444,2097830
1777243803.5779696,2097930
1777243803.6719458,2098030
1777243803.7723877,2098130
1777243803.8691084,2098230
1777243803.976857,2098330
1777243804.0833738,2098430
1777243804.1715868,2098530
1777243804.2783585,2098630
1777243804.3711631,2098730
1777243804.475592,2098830
1777243804.5762982,2098930
1777243804.7664127,2099120
1777243804.9911935,2099330
1777243805.1824396,2099540
1777243805.381418,2099740
1777243805.4704108,2099830
1777243805.5872827,2099940
1777243805.67365,2100030
1777243805.7807822,2100130
1777243805.874132,2100230
1777243806.0052147,2100360
1777243806.0709562,2100430
1777243806.1774876,2100530
1777243806.4053586,2100760
1777243806.473056,2100830
1777243806.5696707,2100930
1777243806.8155735,2101170
1777243807.0190938,2101380
1777243807.224263,2101580
1777243807.2717953,2101630
1777243807.3813004,2101730
1777243807.4745896,2101830
1777243807.570388,2101930
1777243807.6728494,2102030
1777243807.7702603,2102130
1777243807.8698766,2102230
1777243808.042323,2102400
1777243808.0878808,2102440
1777243808.171894,2102530
1777243808.2699525,2102630
1777243808.4633512,2102810
1777243808.6617134,2103020
1777243808.7130904,2103070
1777243808.771353,2103130
1777243808.876999,2103230
1777243809.0685503,2103420
1777243809.2750669,2103630
1777243809.371734,2103730
1777243809.4758806,2103830
1777243809.574305,2103930
1777243809.6835792,2104040
1777243809.7714205,2104130
1777243809.883355,2104240
1777243810.0939298,2104450
1777243810.170484,2104530
1777243810.2940807,2104650
1777243810.3710637,2104730
1777243810.4747314,2104830
1777243810.704379,2105060
1777243810.7707005,2105130
1777243810.874442,2105230
1777243811.1187587,2105470
1777243811.1764975,2105530
1777243811.319844,2105680
1777243811.3789647,2105730
1777243811.5242171,2105880
1777243811.7285433,2106080
1777243811.935699,2106290
1777243812.1388943,2106490
1777243812.1871743,2106550
1777243812.2714565,2106630
1777243812.3697352,2106730
1777243812.5505762,2106910
1777243812.5999315,2106960
1777243812.6709511,2107030
1777243812.7691965,2107130
1777243812.871878,2107230
1777243812.9700649,2107330
1777243813.164144,2107520
1777243813.3661597,2107720
1777243813.4169996,2107770
1777243813.4767954,2107830
1777243813.5701861,2107930
1777243813.6782002,2108030
1777243813.775619,2108130
1777243813.8694456,2108230
1777243813.9797122,2108330
1777243814.0697887,2108430
1777243814.187049,2108540
1777243814.3931253,2108750
1777243814.5980136,2108950
1777243814.802608,2109160
1777243814.870888,2109230
1777243815.005474,2109360
1777243815.0710473,2109430
1777243815.1747272,2109530
1777243815.2770813,2109630
1777243815.371377,2109730
1777243815.4697554,2109830
1777243815.5691142,2109930
1777243815.6749148,2110030
1777243815.8268702,2110180
1777243815.8744564,2110230
1777243816.0329158,2110390
1777243816.0816882,2110440
1777243816.1707227,2110530
1777243816.2736645,2110630
1777243816.4403882,2110800
1777243816.493888,2110850
1777243816.5712762,2110930
1777243816.6712337,2111030
1777243816.7740319,2111130
1777243816.8708491,2111230
1777243816.9738548,2111330
1777243817.072143,2111430
1777243817.2607114,2111620
1777243817.4638293,2111820
1777243817.5157468,2111870
1777243817.6755874,2112030
1777243817.8756597,2112230
1777243817.9729872,2112330
1777243818.071611,2112430
1777243818.1762166,2112530
1777243818.2812083,2112640
1777243818.3694267,2112730
1777243818.4877865,2112840
1777243818.5694697,2112930
1777243818.6947787,2113050
1777243818.7727685,2113130
1777243818.8708956,2113230
1777243818.970091,2113330
1777243819.102642,2113460
1777243819.1713326,2113530
1777243819.2712786,2113630
1777243819.5194046,2113870
1777243819.7237334,2114080
1777243819.9264677,2114280
1777243820.1259274,2114480
1777243820.1783333,2114540
1777243820.2717748,2114630
1777243820.368841,2114730
1777243820.4762373,2114830
1777243820.5747743,2114930
1777243820.674373,2115030
1777243820.7705019,2115130
1777243820.8766305,2115230
1777243820.9711516,2115330
1777243821.0708456,2115430
1777243821.1693387,2115530
1777243821.2719018,2115630
1777243821.3703432,2115730
1777243821.471503,2115830
1777243821.5713136,2115930
1777243821.6705225,2116030
1777243821.7721503,2116130
1777243821.8702855,2116230
1777243821.9725995,2116330
1777243822.175365,2116530
1777243822.2731397,2116630
1777243822.3744667,2116730
1777243822.584499,2116940
1777243822.6702373,2117030
1777243822.7780704,2117130
1777243822.8786006,2117230
1777243822.969891,2117330
1777243823.0714543,2117430
1777243823.1792943,2117530
1777243823.2714016,2117630
1777243823.3721468,2117730
1777243823.4746132,2117830
1777243823.6055381,2117960
1777243823.672449,2118030
1777243823.7685847,2118130
1777243823.877592,2118230
1777243823.9718225,2118330
1777243824.071821,2118430
1777243824.1726027,2118530
1777243824.425918,2118780
1777243824.6307957,2118990
1777243824.6782885,2119030
1777243824.7695684,2119130
1777243824.8714056,2119230
1777243825.0406294,2119400
1777243825.2524457,2119610
1777243825.2992897,2119660
1777243825.3716853,2119730
1777243825.4773066,2119830
1777243825.6612628,2120010
1777243825.7315965,2120070
1777243825.776736,2120130
1777243825.8729658,2120230
1777243825.972749,2120330
1777243826.0702631,2120430
1777243826.1739466,2120530
1777243826.2695851,2120630
1777243826.3715425,2120730
1777243826.4756143,2120830
1777243826.5701568,2120930
1777243826.6764946,2121030
1777243826.885248,2121240
1777243827.0899055,2121450
1777243827.2930007,2121650
1777243827.371771,2121730
1777243827.4706106,2121830
1777243827.7040372,2122060
1777243827.7760425,2122130
1777243827.9083555,2122270
1777243827.9696631,2122330
1777243828.1171253,2122470
1777243828.1737974,2122530
1777243828.3184843,2122680
1777243828.5246456,2122880
1777243828.731799,2123080
1777243828.939154,2123300
1777243829.1417758,2123500
1777243829.1923301,2123550
1777243829.270656,2123630
1777243829.3691015,2123730
1777243829.5478413,2123900
1777243829.750442,2124110
1777243829.797804,2124150
1777243829.8721106,2124230
1777243829.9703765,2124330
1777243830.0722275,2124430
1777243830.1755533,2124530
1777243830.2706563,2124630
1777243830.3740985,2124730
1777243830.5733795,2124930
1777243830.6297781,2124980
1777243830.7744849,2125130
1777243830.8715148,2125230
1777243830.9806242,2125340
1777243831.0702684,2125430
1777243831.1707132,2125530
1777243831.273542,2125630
1777243831.390121,2125750
1777243831.4725807,2125830
1777243831.5710762,2125930
1777243831.8009613,2126160
1777243832.0066736,2126360
1777243832.2083373,2126560
1777243832.2707891,2126630
1777243832.367874,2126730
1777243832.4710538,2126830
1777243832.5722072,2126930
1777243832.670688,2127030
1777243832.7776175,2127130
1777243832.8715854,2127230
1777243832.9699585,2127330
1777243833.071223,2127430
1777243833.2320924,2127590
1777243833.4371686,2127790
1777243833.6410298,2128000
1777243833.692256,2128050
1777243833.773916,2128130
1777243833.8696542,2128230
1777243834.0585432,2128410
1777243834.2573307,2128620
1777243834.3110218,2128670
1777243834.3712304,2128730
1777243834.476204,2128830
1777243834.6705542,2129020
1777243834.7308836,2129080
1777243834.8707428,2129230
1777243834.9756517,2129330
1777243835.0763772,2129430
1777243835.1701467,2129530
1777243835.278706,2129630
1777243835.372891,2129730
1777243835.4854076,2129840
1777243835.6915822,2130050
1777243835.7747347,2130130
1777243835.8940322,2130250
1777243836.0994043,2130460
1777243836.1714094,2130530
1777243836.3092256,2130660
1777243836.3691115,2130730
1777243836.468549,2130830
1777243836.5772343,2130930
1777243836.6751974,2131030
1777243836.7692592,2131130
1777243836.872544,2131230
1777243837.1250572,2131480
1777243837.3294244,2131690
1777243837.536014,2131890
1777243837.5978477,2131940
1777243837.6714242,2132030
1777243837.7768104,2132130
1777243837.9447365,2132300
1777243837.9983811,2132360
1777243838.1507342,2132500
1777243838.2072258,2132560
1777243838.2718368,2132630
1777243838.3730469,2132730
1777243838.5603187,2132910
1777243838.7651236,2133120
1777243838.812383,2133170
1777243838.8727992,2133230
1777243838.9696372,2133330
1777243839.0701556,2133430
1777243839.1712894,2133530
1777243839.37614,2133730
1777243839.5829985,2133940
1777243839.7844713,2134140
1777243839.8747635,2134230
1777243839.994229,2134350
1777243840.0814848,2134430
1777243840.1946073,2134550
1777243840.2837775,2134630
1777243840.3687394,2134730
1777243840.6083577,2134960
1777243840.6713119,2135030
1777243840.81413,2135170
1777243840.8739357,2135230
1777243841.0165615,2135370
1777243841.2220075,2135580
1777243841.272411,2135630
1777243841.425962,2135780
1777243841.4763854,2135830
1777243841.5703976,2135930
1777243841.6735678,2136030
1777243841.7699332,2136130
1777243842.039261,2136400
1777243842.251456,2136600
1777243842.4527192,2136810
1777243842.4990923,2136860
1777243842.5694742,2136930
1777243842.671015,2137030
1777243842.7701156,2137130
1777243842.872111,2137230
1777243842.9730413,2137330
1777243843.0707097,2137430
1777243843.1683028,2137530
1777243843.2728693,2137630
1777243843.4794228,2137830
1777243843.6811666,2138040
1777243843.7682185,2138130
1777243843.8818192,2138240
1777243844.0858653,2138440
1777243844.292825,2138650
1777243844.4977667,2138850
1777243844.580536,2138930
1777243844.7022612,2139060
1777243844.7776568,2139130
1777243844.9093187,2139260
1777243844.9692588,2139330
1777243845.07049,2139430
1777243845.175468,2139530
1777243845.2692447,2139630
1777243845.3730354,2139730
1777243845.4712193,2139830
1777243845.7281206,2140080
1777243845.9338582,2140290
1777243846.137881,2140490
1777243846.1870236,2140540
