arrival_time,tsval
1777241813.7774277,108130
1777241813.913491,108260
1777241814.1156833,108470
1777241814.1780913,108530
1777241814.2780302,108630
1777241814.524619,108870
1777241814.5781252,108930
1777241814.6775842,109030
1777241814.9405777,109280
1777241814.9897025,109340
1777241815.0759053,109430
1777241815.3476377,109690
1777241815.5506675,109900
1777241815.7557166,110100
1777241815.806124,110150
1777241815.9592319,110310
1777241816.0071273,110360
1777241816.0769203,110430
1777241816.1839705,110530
1777241816.2758853,110630
1777241816.3796568,110730
1777241816.5770473,110920
1777241816.6284583,110980
1777241816.7783082,111130
1777241816.834073,111180
1777241816.8835385,111230
1777241816.9803817,111330
1777241817.1865764,111540
1777241817.3900213,111740
1777241817.478179,111830
1777241817.6020882,111950
1777241817.8003635,112150
1777241817.8769283,112230
1777241817.9853222,112330
1777241818.2166817,112560
1777241818.277268,112630
1777241818.375603,112730
1777241818.477024,112830
1777241818.623106,112970
1777241818.82918,113180
1777241818.8845265,113230
1777241819.029447,113380
1777241819.078308,113430
1777241819.1778283,113530
1777241819.278831,113630
1777241819.3809936,113730
1777241819.648,114000
1777241819.6970096,114050
1777241819.78003,114130
1777241819.8798268,114230
1777241820.0585024,114410
1777241820.1147752,114460
1777241820.2639995,114610
1777241820.3209784,114670
1777241820.465209,114810
1777241820.666787,115020
1777241820.724863,115070
1777241820.872551,115220
1777241820.9284728,115280
1777241820.990745,115340
1777241821.0756469,115430
1777241821.1817546,115530
1777241821.286582,115630
1777241821.377453,115730
1777241821.4799132,115830
1777241821.5767674,115930
1777241821.6766603,116030
1777241821.8987134,116250
1777241821.9777195,116330
1777241822.1053665,116450
1777241822.175972,116530
1777241822.2786238,116630
1777241822.3834426,116730
1777241822.5123866,116860
1777241822.5784824,116930
1777241822.6782308,117030
1777241822.7781055,117130
1777241822.8808734,117230
1777241822.9768004,117330
1777241823.0765169,117430
1777241823.1773407,117530
1777241823.279015,117630
1777241823.3785343,117730
1777241823.4776978,117830
1777241823.7429152,118090
1777241823.7899652,118140
1777241823.8766649,118230
1777241823.9774516,118330
1777241824.0803554,118430
1777241824.352838,118700
1777241824.5573096,118910
1777241824.6042242,118950
1777241824.6786442,119030
1777241824.7779047,119130
1777241824.8785803,119230
1777241824.9774387,119330
1777241825.1776588,119530
1777241825.2791018,119630
1777241825.3801785,119730
1777241825.4763515,119830
1777241825.5812485,119930
1777241825.6779423,120030
1777241825.7946806,120140
1777241825.877366,120230
1777241825.9769177,120330
1777241826.2077584,120550
1777241826.2804918,120630
1777241826.404184,120750
1777241826.4773242,120830
1777241826.6104488,120960
1777241826.6786873,121030
1777241826.8143325,121160
1777241826.8795853,121230
1777241826.9770854,121330
1777241827.0805795,121430
1777241827.1804914,121530
1777241827.2782397,121630
1777241827.3821135,121730
1777241827.6348882,121980
1777241827.8406124,122190
1777241827.8874514,122240
1777241827.9776297,122330
1777241828.076113,122430
1777241828.1868985,122530
1777241828.2765577,122630
1777241828.4545548,122800
1777241828.656315,123010
1777241828.8603013,123210
1777241829.0656357,123420
1777241829.1133697,123460
1777241829.1797445,123530
1777241829.2801447,123630
1777241829.3773851,123730
1777241829.4779058,123830
1777241829.5800192,123930
1777241829.6836011,124030
1777241829.7800841,124130
1777241829.875957,124230
1777241829.9778345,124330
1777241830.0764267,124430
1777241830.1775713,124530
1777241830.2762246,124630
1777241830.501092,124850
1777241830.7090006,125050
1777241830.781358,125130
1777241830.8757718,125230
1777241830.9767106,125330
1777241831.1170921,125460
1777241831.1777022,125530
1777241831.279617,125630
1777241831.5264266,125880
1777241831.578093,125930
1777241831.6788557,126030
1777241831.9308107,126280
1777241831.9761064,126330
1777241832.0769024,126430
1777241832.3418505,126690
1777241832.3933408,126740
1777241832.4786339,126830
1777241832.5781648,126930
1777241832.678659,127030
1777241832.7774053,127130
1777241832.8770432,127230
1777241832.9782827,127330
1777241833.0769315,127430
1777241833.1777313,127530
1777241833.2784424,127630
1777241833.375533,127730
1777241833.4838428,127830
1777241833.5806627,127930
1777241833.7761805,128130
1777241833.8775434,128230
1777241833.9817924,128330
1777241834.0784118,128430
1777241834.1773565,128530
1777241834.279615,128630
1777241834.3898063,128740
1777241834.5990615,128950
1777241834.8011355,129150
1777241835.0065095,129360
1777241835.0749047,129430
1777241835.208076,129560
1777241835.2792006,129630
1777241835.3787596,129730
1777241835.6195443,129970
1777241835.6772099,130030
1777241835.827175,130170
1777241835.8863783,130230
1777241836.0308359,130380
1777241836.233898,130580
1777241836.4383144,130790
1777241836.4856207,130840
1777241836.5760093,130930
1777241836.6791303,131030
1777241836.8508794,131200
1777241836.9070616,131250
1777241836.9815857,131330
1777241837.078276,131430
1777241837.2551243,131610
1777241837.4641685,131810
1777241837.5204642,131870
1777241837.57802,131930
1777241837.6793299,132030
1777241837.775963,132130
1777241837.878407,132230
1777241838.0788226,132430
1777241838.1792583,132530
1777241838.2792232,132630
1777241838.379115,132730
1777241838.4780786,132830
1777241838.5765674,132930
1777241838.6947978,133040
1777241838.7794273,133130
1777241838.8787484,133230
1777241839.102385,133450
1777241839.3046618,133650
1777241839.3844469,133730
1777241839.5084014,133860
1777241839.5757508,133930
1777241839.676883,134030
1777241839.7778845,134130
1777241839.8792,134230
1777241840.1221542,134470
1777241840.330365,134680
1777241840.3867354,134740
1777241840.4791417,134830
1777241840.5783188,134930
1777241840.7392557,135090
1777241840.945399,135300
1777241840.9921522,135340
1777241841.0791826,135430
1777241841.3542411,135700
1777241841.4089258,135760
1777241841.5562444,135910
1777241841.7663097,136110
1777241841.8251076,136170
1777241841.9686549,136320
1777241842.1743066,136520
1777241842.235338,136580
1777241842.3788476,136730
1777241842.5836391,136930
1777241842.7869823,137140
1777241842.8824553,137230
1777241842.983017,137330
1777241843.1967063,137550
1777241843.404174,137750
1777241843.4823854,137830
1777241843.5909085,137930
1777241843.812197,138160
1777241844.0182219,138370
1777241844.2183123,138570
1777241844.2804863,138630
1777241844.3782427,138730
1777241844.4904912,138830
1777241844.576579,138930
1777241844.836166,139190
1777241845.038001,139390
1777241845.0958757,139440
1777241845.2478704,139600
1777241845.4502573,139800
1777241845.4992921,139850
1777241845.5778198,139930
1777241845.6846197,140030
1777241845.7781353,140130
1777241845.8870912,140230
1777241846.0679321,140420
1777241846.2767801,140620
1777241846.3285596,140680
1777241846.3788145,140730
1777241846.476342,140830
1777241846.6834168,141030
1777241846.88448,141230
1777241846.9769824,141330
1777241847.079002,141430
1777241847.2897613,141640
1777241847.3775373,141730
1777241847.4754846,141830
1777241847.7015338,142050
1777241847.9078865,142260
1777241847.981182,142330
1777241848.1102655,142460
1777241848.3198326,142670
1777241848.5221198,142870
1777241848.5766146,142930
1777241848.6797864,143030
1777241848.77787,143130
1777241848.9316058,143280
1777241848.9880133,143330
1777241849.1436932,143490
1777241849.346801,143690
1777241849.3962195,143750
1777241849.4787076,143830
1777241849.5780463,143930
1777241849.750901,144100
1777241849.9548986,144300
1777241850.005693,144360
1777241850.158561,144510
1777241850.2074425,144560
1777241850.275706,144630
1777241850.3830771,144730
1777241850.572183,144920
1777241850.634708,144980
1777241850.6976545,145040
1777241850.7780547,145130
1777241850.8771846,145230
1777241850.9773192,145330
1777241851.182427,145530
1777241851.2829022,145630
1777241851.3921292,145740
1777241851.597689,145940
