arrival_time,tsval
1777557016.6966963,10060
1777557017.6967108,11060
1777557018.6947067,12060
1777557019.6971204,13060
1777557020.6947362,14060
1777557021.6968515,15060
1777557022.7061787,16060
1777557023.6990592,17060
1777557024.6966102,18060
1777557025.6971767,19060
1777557026.6973145,20060
1777557027.6956253,21060
1777557028.6999826,22060
1777557029.7041507,23060
1777557030.6943111,24060
1777557031.6949935,25060
1777557032.6967173,26060
1777557033.6968987,27060
1777557034.6978004,28060
1777557035.7109697,29060
1777557036.6969106,30060
1777557037.6965854,31060
1777557038.6988587,32060
1777557039.6955526,33060
1777557040.707764,34060
1777557041.7090888,35060
1777557042.6938345,36060
1777557043.6985316,37060
1777557044.6975846,38060
1777557045.6954656,39060
1777557046.6969612,40060
1777557047.6951468,41060
1777557048.6939795,42060
1777557049.6955004,43060
1777557050.7004874,44060
1777557051.719947,45060
1777557052.6968584,46060
1777557053.695323,47060
1777557054.6956427,48060
1777557055.6941195,49060
1777557056.6947305,50060
1777557057.6943278,51060
1777557058.7072217,52060
1777557059.7089226,53060
1777557060.6967313,54060
1777557061.6981037,55060
1777557062.7003555,56060
1777557063.7024913,57060
1777557064.7223527,58060
1777557065.6953006,59060
1777557066.698264,60060
1777557067.6964512,61060
1777557068.7167401,62060
1777557069.6986682,63060
1777557070.7175388,64060
1777557071.7015638,65060
1777557072.718922,66060
1777557073.6996975,67060
1777557074.694145,68060
1777557075.6950483,69060
1777557076.7024398,70060
1777557077.697547,71060
1777557078.6965818,72060
1777557079.6953042,73060
1777557080.6976352,74060
1777557081.6940606,75060
1777557082.695428,76060
1777557083.7039733,77060
1777557084.709263,78060
1777557085.7147033,79060
1777557086.696385,80060
1777557087.705959,81060
1777557088.698144,82060
1777557089.6927028,83060
1777557090.6957064,84060
1777557091.7015283,85060
1777557092.6977794,86060
1777557093.7067068,87060
1777557094.7010753,88060
1777557095.6962063,89060
1777557096.6973162,90060
1777557097.695734,91060
1777557098.6965678,92060
1777557099.6955094,93060
1777557100.6956189,94060
1777557101.6956463,95060
1777557102.7116394,96060
1777557103.6971378,97060
1777557104.6976466,98060
1777557105.700233,99060
1777557106.7090113,100060
1777557107.6932285,101060
1777557108.6954355,102060
1777557109.6984305,103060
1777557110.7035246,104060
1777557111.6951573,105060
1777557112.695632,106060
1777557113.6959493,107060
1777557114.6984618,108060
1777557115.6937876,109060
1777557116.701376,110060
1777557117.6942573,111060
1777557118.6963637,112060
1777557119.71248,113060
1777557120.6952722,114060
1777557121.69625,115060
1777557122.6941266,116060
1777557123.6996555,117060
1777557124.6958134,118060
1777557125.6977994,119060
1777557126.692857,120060
1777557127.7124782,121060
1777557128.6931503,122060
1777557129.6950376,123060
1777557130.6925492,124060
1777557131.697536,125060
1777557132.6947987,126060
1777557133.697973,127060
1777557134.6952856,128060
1777557135.6930852,129060
1777557136.6937525,130060
1777557137.6931038,131060
1777557138.6952894,132060
1777557139.7061863,133060
1777557140.7056093,134060
1777557141.6997516,135060
1777557142.709613,136060
1777557143.6945684,137060
1777557144.7048192,138060
1777557145.7050393,139060
1777557146.6932795,140060
1777557147.6953003,141060
1777557148.7053397,142060
1777557149.7181072,143060
1777557150.6996837,144060
1777557151.696276,145060
1777557152.7030363,146060
1777557153.708195,147060
1777557154.6945379,148060
