arrival_time,tsval
1777176450.7892513,10270
1777176450.8761814,10360
1777176450.9979346,10480
1777176451.073183,10560
1777176451.175904,10660
1777176451.2734272,10760
1777176451.4018285,10890
1777176451.6109712,11090
1777176451.8151696,11300
1777176452.0211637,11500
1777176452.220355,11710
1777176452.429214,11910
1777176452.4804087,11970
1777176452.5752563,12060
1777176452.6727064,12160
1777176452.7793276,12260
1777176452.873303,12360
1777176453.0423644,12530
1777176453.2619777,12730
1777176453.3190174,12800
1777176453.3788931,12860
1777176453.470832,12960
1777176453.5807247,13060
1777176453.6739974,13160
1777176453.7779129,13260
1777176453.871536,13360
1777176454.0677445,13550
1777176454.272674,13760
1777176454.4779649,13960
1777176454.681776,14170
1777176454.773348,14260
1777176454.8722484,14360
1777176454.9729044,14460
1777176455.0746706,14560
1777176455.2979546,14780
1777176455.3817236,14860
1777176455.4765427,14960
1777176455.704051,15190
1777176455.775846,15260
1777176455.9162784,15390
1777176456.1236837,15600
1777176456.1715968,15660
1777176456.2747283,15760
1777176456.373418,15860
1777176456.4758167,15960
1777176456.7335222,16210
1777176456.9336684,16420
1777176456.9782903,16460
1777176457.0720682,16560
1777176457.1728601,16660
1777176457.2724802,16760
1777176457.3813791,16860
1777176457.5479379,17030
1777176457.7601337,17240
1777176457.8089674,17290
1777176457.8766134,17360
1777176457.9741495,17460
1777176458.1656349,17650
1777176458.3660388,17850
1777176458.4175677,17900
1777176458.4728546,17960
1777176458.5763962,18060
1777176458.6749947,18160
1777176458.7790093,18260
1777176458.8880742,18360
1777176458.984833,18470
1777176459.0732872,18560
1777176459.1878343,18670
1777176459.3941,18880
1777176459.6001916,19080
1777176459.6762788,19160
1777176459.8023334,19290
1777176460.0372615,19490
1777176460.212165,19690
1777176460.4211385,19900
1777176460.6227765,20110
1777176460.6747162,20160
1777176460.7758038,20260
1777176460.874524,20360
1777176460.9735572,20460
1777176461.0757377,20560
1777176461.2359629,20720
1777176461.293488,20770
1777176461.440866,20920
1777176461.6471293,21130
1777176461.8547819,21330
1777176462.0602934,21540
1777176462.105412,21590
1777176462.1739283,21660
1777176462.282851,21760
1777176462.3736305,21860
1777176462.4737194,21960
1777176462.5829859,22060
1777176462.674977,22160
1777176462.7875109,22260
1777176462.8755531,22360
1777176463.0833414,22560
1777176463.2811675,22770
1777176463.377244,22860
1777176463.4768295,22960
1777176463.5723557,23060
1777176463.6812513,23160
1777176463.7745757,23260
1777176463.8793724,23360
1777176464.1034079,23580
1777176464.310813,23790
1777176464.5113034,24000
1777176464.5807564,24060
1777176464.71936,24200
1777176464.77348,24260
1777176464.9241016,24410
1777176464.9746292,24460
1777176465.077621,24560
1777176465.333,24820
1777176465.5371618,25020
1777176465.582947,25070
1777176465.6868653,25160
1777176465.9462552,25430
1777176465.9984267,25480
1777176466.0767574,25560
1777176466.1791093,25660
1777176466.362041,25840
1777176466.417619,25900
1777176466.5693953,26040
1777176466.6217506,26100
1777176466.673255,26160
1777176466.785773,26260
1777176466.9864542,26460
1777176467.073528,26560
1777176467.1749928,26660
1777176467.2772925,26760
1777176467.3767464,26860
1777176467.5833147,27070
1777176467.792055,27270
1777176467.9961524,27480
1777176468.0771396,27560
1777176468.1979852,27680
1777176468.2744222,27760
1777176468.3748639,27860
1777176468.475829,27960
1777176468.6122293,28090
1777176468.6783602,28160
1777176468.8140905,28300
1777176469.019757,28500
1777176469.0772057,28560
1777176469.1756656,28660
1777176469.272744,28760
1777176469.381099,28860
1777176469.4751341,28960
1777176469.576931,29060
1777176469.6759467,29160
1777176469.8416786,29320
1777176469.8976672,29380
1777176469.978881,29460
1777176470.2494154,29730
1777176470.2939599,29780
1777176470.3744278,29860
1777176470.475428,29960
1777176470.65616,30140
1777176470.865771,30340
1777176470.9208922,30400
1777176470.9733548,30460
1777176471.0760438,30560
1777176471.1750355,30660
1777176471.2762754,30760
1777176471.3744526,30860
1777176471.4731438,30960
1777176471.5761836,31060
1777176471.6814342,31160
1777176471.7797148,31260
1777176471.8737276,31360
1777176471.975345,31460
1777176472.090614,31570
1777176472.2975423,31780
1777176472.4998136,31980
1777176472.5766726,32060
1777176472.6745095,32160
1777176472.7771366,32260
1777176472.915918,32400
1777176472.9805598,32460
1777176473.1270452,32600
1777176473.322413,32800
1777176473.3797941,32860
1777176473.5247712,33010
1777176473.7286477,33210
1777176473.777861,33260
1777176473.9358976,33420
1777176473.9845905,33470
1777176474.0757825,33560
1777176474.1764429,33660
1777176474.275739,33760
1777176474.5490692,34030
1777176474.6148438,34090
1777176474.7535756,34240
1777176474.958205,34440
1777176475.1636515,34650
1777176475.366736,34850
1777176475.4174128,34900
1777176475.4756217,34960
1777176475.5750217,35060
1777176475.681991,35160
1777176475.7763681,35260
1777176475.984794,35460
1777176476.0756464,35560
1777176476.1869056,35670
1777176476.3909574,35870
1777176476.4748383,35960
1777176476.5969212,36080
1777176476.6739352,36160
1777176476.774559,36260
1777176477.008822,36490
1777176477.0776927,36560
1777176477.2121706,36690
1777176477.2780836,36760
1777176477.374131,36860
1777176477.4844384,36960
1777176477.5741942,37060
1777176477.676179,37160
1777176477.778042,37260
1777176477.8742633,37360
1777176477.974287,37460
1777176478.2394793,37720
1777176478.2878525,37770
1777176478.3748302,37860
1777176478.474574,37960
1777176478.5769997,38060
1777176478.8502471,38330
1777176479.0552504,38540
1777176479.2596025,38740
1777176479.3072352,38790
1777176479.3744133,38860
1777176479.480747,38960
1777176479.5759094,39060
1777176479.6749928,39160
1777176479.7740898,39260
1777176479.8761618,39360
1777176479.9755328,39460
1777176480.0767052,39560
1777176480.2864864,39770
1777176480.3829415,39860
1777176480.4876282,39970
1777176480.5814042,40060
1777176480.6933177,40170
1777176480.7759612,40260
1777176480.880954,40360
1777176480.9759338,40460
1777176481.0753496,40560
1777176481.1795118,40660
1777176481.3057375,40790
1777176481.3787644,40860
1777176481.4765308,40960
1777176481.577025,41060
1777176481.7172542,41200
1777176481.9205709,41400
1777176481.9740703,41460
1777176482.0758119,41560
1777176482.175944,41660
1777176482.2787924,41760
1777176482.537825,42020
1777176482.7423155,42220
1777176482.7983704,42280
1777176482.8794382,42360
1777176483.1511185,42630
1777176483.356845,42840
1777176483.4044113,42880
1777176483.482283,42960
1777176483.5754852,43060
1777176483.6855261,43160
1777176483.7803233,43260
1777176483.8876228,43360
1777176483.9873319,43460
1777176484.0772066,43560
1777176484.1781645,43660
1777176484.2774615,43760
1777176484.3769233,43860
1777176484.4813585,43960
1777176484.5879307,44070
1777176484.7932754,44270
1777176484.992765,44480
1777176485.0767453,44560
1777176485.1748044,44660
1777176485.278197,44760
1777176485.3748374,44860
1777176485.4749691,44960
1777176485.5740047,45060
1777176485.8133316,45290
1777176485.883925,45360
1777176485.9772563,45460
1777176486.224027,45710
1777176486.275821,45760
1777176486.4286652,45910
1777176486.4829638,45960
1777176486.6330853,46110
1777176486.7023463,46170
1777176486.7755063,46260
1777176486.8777986,46360
1777176486.9758265,46460
1777176487.077127,46560
1777176487.248405,46730
1777176487.4517615,46930
1777176487.5013237,46980
1777176487.575357,47060
1777176487.6772833,47160
1777176487.790506,47260
1777176487.8818142,47360
1777176487.9881005,47460
1777176488.080398,47560
1777176488.2738404,47750
1777176488.479553,47960
1777176488.5748475,48060
1777176488.6812155,48160
1777176488.7815728,48260
1777176488.8751078,48360
1777176489.089826,48570
1777176489.1753268,48660
1777176489.2776625,48760
1777176489.4996731,48980
1777176489.7090828,49190
1777176489.9088368,49390
1777176489.9763632,49460
1777176490.1156728,49600
1777176490.1820755,49660
1777176490.2763135,49760
1777176490.3822482,49860
1777176490.4757135,49960
1777176490.7294645,50210
1777176490.787326,50270
1777176490.8803983,50360
1777176490.9763012,50460
1777176491.0823548,50560
1777176491.3444705,50820
1777176491.3937356,50870
1777176491.4753578,50960
1777176491.575331,51060
1777176491.7544134,51230
1777176491.8083081,51290
1777176491.8748617,51360
1777176491.9784667,51460
1777176492.0751903,51560
1777176492.1750145,51660
1777176492.2805247,51760
1777176492.3796427,51860
